DateKey,Year,Quarter,QuarterName,YearQuarter,MonthNumber,MonthName,MonthShort,YearMonth,Day,DayOfWeekNum,DayName,WeekOfYear,IsWeekend
2008-03-22,2008,1,Q1,2008-Q1,3,March,Mar,2008-03,22,6,Saturday,12,1
2008-06-14,2008,2,Q2,2008-Q2,6,June,Jun,2008-06,14,6,Saturday,24,1
2008-06-15,2008,2,Q2,2008-Q2,6,June,Jun,2008-06,15,7,Sunday,24,1
2008-09-07,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,7,7,Sunday,36,1
2008-09-08,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,8,1,Monday,37,0
2008-09-09,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,9,2,Tuesday,37,0
2008-09-10,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,10,3,Wednesday,37,0
2008-09-11,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,11,4,Thursday,37,0
2008-09-12,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,12,5,Friday,37,0
2008-09-13,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,13,6,Saturday,37,1
2008-09-14,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,14,7,Sunday,37,1
2008-09-15,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,15,1,Monday,38,0
2008-09-16,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,16,2,Tuesday,38,0
2008-09-17,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,17,3,Wednesday,38,0
2008-09-18,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,18,4,Thursday,38,0
2008-09-19,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,19,5,Friday,38,0
2008-09-20,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,20,6,Saturday,38,1
2008-09-21,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,21,7,Sunday,38,1
2008-09-22,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,22,1,Monday,39,0
2008-09-23,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,23,2,Tuesday,39,0
2008-09-24,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,24,3,Wednesday,39,0
2008-09-25,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,25,4,Thursday,39,0
2008-09-26,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,26,5,Friday,39,0
2008-09-27,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,27,6,Saturday,39,1
2008-09-28,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,28,7,Sunday,39,1
2008-09-29,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,29,1,Monday,40,0
2008-09-30,2008,3,Q3,2008-Q3,9,September,Sep,2008-09,30,2,Tuesday,40,0
2008-10-01,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,1,3,Wednesday,40,0
2008-10-02,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,2,4,Thursday,40,0
2008-10-03,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,3,5,Friday,40,0
2008-10-04,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,4,6,Saturday,40,1
2008-10-05,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,5,7,Sunday,40,1
2008-10-06,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,6,1,Monday,41,0
2008-10-07,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,7,2,Tuesday,41,0
2008-10-08,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,8,3,Wednesday,41,0
2008-10-09,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,9,4,Thursday,41,0
2008-10-10,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,10,5,Friday,41,0
2008-10-11,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,11,6,Saturday,41,1
2008-10-12,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,12,7,Sunday,41,1
2008-10-13,2008,4,Q4,2008-Q4,10,October,Oct,2008-10,13,1,Monday,42,0
