ProductKey,ProductName,BrandKey,Subcategory,Category
1568,The Phone Company PDA Palm 3.5 inch M810 White,10,Smart phones & PDAs,Cell phones
2099,Contoso Water Heater 1.5GPM E0800 Green,3,Water Heaters,Home Appliances
1818,MGS Train Simulator 2009 E174,9,Download Games,Games and Toys
336,SV Car Video LCD7W M7082 Brown,8,Car Video,TV and Video
2385,Proseware Air conditioner 10000BTU M490 White,7,Air Conditioners,Home Appliances
1350,Contoso Dual Handset Cordless Phone System E20 White,3,Home & Office Phones,Cell phones
385,Adventure Works Laptop8.9 E0890 Red,2,Laptops,Computers
2226,Adventure Works Wall Lamp E2150 Blue,2,Lamps,Home Appliances
1906,Fabrikam Refrigerator 4.6CuFt E2800 Brown,4,Refrigerators,Home Appliances
1841,Litware Washer & Dryer 15.5in E150 Blue,5,Washers & Dryers,Home Appliances
745,Contoso Car power adapter M90 Black,3,Computers Accessories,Computers
1205,Fabrikam Independent Filmmaker 1/2'' 3mm X300 Grey,4,Camcorders,Cameras and camcorders
1665,MGS Hand Games for 12-16 boys E600 Yellow,9,Boxed Games,Games and Toys
723,Proseware Photo Ink jet Printer E290 White,7,"Printers, Scanners & Fax",Computers
458,WWI Desktop PC1.80 E1800 White,11,Desktops,Computers
2487,Litware 18'' Oscillating Pedestal Fan M145 White,5,Fans,Home Appliances
81,NT Wireless Bluetooth Stereo Headphones E302 Black,6,Bluetooth Headphones,Audio
375,Adventure Works Laptop15 M1501 Silver,2,Laptops,Computers
341,Fabrikam Laptop16W M6080 Black,4,Laptops,Computers
542,Proseware Projector 720p DLP56 Black,7,Projectors & Screens,Computers
812,Contoso Mouse Lock Bundle E200 Grey,3,Computers Accessories,Computers
780,Contoso Car power adapter M90 White,3,Computers Accessories,Computers
2495,Headphone Adapter for Contoso Phone E130 Black,3,Cell phones Accessories,Cell phones
1167,Fabrikam Social Videographer 2/3'' 17mm E100 Black,4,Camcorders,Cameras and camcorders
115,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,11,Bluetooth Headphones,Audio
595,Contoso Screen 106in M060 White,3,Projectors & Screens,Computers
2515,Contoso In-Line Coupler E180 White,3,Cell phones Accessories,Cell phones
1066,A. Datum SLR Camera M140 Pink,1,Digital SLR Cameras,Cameras and camcorders
1604,SV DVD 14-Inch Player Portable L100 Black,8,Movie DVD,"Music, Movies and Audio Books"
1391,Contoso Electronic Private Automatic Branch Exchange M90 Grey,3,Home & Office Phones,Cell phones
1139,"Fabrikam SLR Camera 35"" M358 Orange",4,Digital SLR Cameras,Cameras and camcorders
454,WWI Desktop PC1.80 E1801 Brown,11,Desktops,Computers
83,NT Wireless Bluetooth Stereo Headphones M402 Silver,6,Bluetooth Headphones,Audio
1425,"The Phone Company Touch Screen Phone 1600 TFT-2.2"" L200 Grey",10,Touch Screen Phones,Cell phones
665,Proseware Photo Inkjet Printer E290 Black,7,"Printers, Scanners & Fax",Computers
434,Adventure Works Desktop PC2.30 MD230 White,2,Desktops,Computers
2414,Litware 18'' Adjustable Oscillating Pedestal Fan E301 White,5,Fans,Home Appliances
864,Contoso Optical USB Mouse M45 White,3,Computers Accessories,Computers
1816,MGS Age of Empires II Gold Edition2009 E172,9,Download Games,Games and Toys
144,"Adventure Works 15.6"" LCD TV M130W Brown",2,Televisions,TV and Video
1421,"The Phone Company Pen Touch Screen Phones-2.6"" M320 Black",10,Touch Screen Phones,Cell phones
130,"Adventure Works 20"" Analog CRT TV E45 Black",2,Televisions,TV and Video
1100,Contoso SLR Camera X145 Blue,3,Digital SLR Cameras,Cameras and camcorders
200,Litware Home Theater System 4.1 Channel M413 Black,5,Home Theater System,TV and Video
243,Contoso Home Theater System 4.1 Channel M1400 Black,3,Home Theater System,TV and Video
577,Contoso Projector 720p M620 Black,3,Projectors & Screens,Computers
