DateKey,ProductKey,CustomerKey,Quantity,NetPrice,Revenue
2008-01-01,2145,18813,1,123.405,123.405
2008-01-01,7,19036,4,20.4915,81.966
2008-01-06,328,18813,2,246.05,492.1
2008-01-07,2372,18814,2,379.9905,759.981
2008-01-08,1703,10238,1,5.1205,5.1205
2008-01-08,1703,11008,4,5.1205,20.482
2008-01-09,1801,10706,1,30.4,30.4
2008-01-09,2112,18814,2,751.45,1502.9
2008-01-14,2153,18052,1,708.6905,708.6905
2008-01-14,2215,18815,1,322.05,322.05
2008-01-14,1283,18815,4,23.7405,94.962
2008-01-15,1587,18815,3,17.0905,51.2715
2008-01-22,1758,8210,1,48.013,48.013
2008-01-22,308,18816,3,475,1425
2008-01-23,575,19049,1,1836,1836
2008-02-02,1479,13549,1,288.3,288.3
2008-02-03,2388,18818,2,189.9905,379.981
2008-02-04,1666,8031,1,15.7077,15.7077
2008-02-05,310,18819,1,284.05,284.05
2008-02-06,1760,7115,1,90.06,90.06
2008-02-06,1416,18819,2,292.6,585.2
2008-02-07,1674,9084,1,6.6405,6.6405
2008-02-07,1165,18819,4,161.5,646
2008-02-08,1382,18819,2,9.4905,18.981
2008-02-09,1672,13533,1,15.7077,15.7077
2008-02-15,36,726,1,91.1525,91.1525
2008-02-15,1942,18821,2,284.9905,569.981
2008-02-16,1304,16278,1,64.6,64.6
2008-02-16,50,6004,2,189.9525,379.905
2008-02-18,261,13998,1,379.05,379.05
2008-02-18,1841,1421,3,949.05,2847.15
2008-02-21,672,19053,1,157.17,157.17
2008-02-25,1465,18822,1,189.05,189.05
2008-02-25,1607,18822,1,170.9905,170.9905
2008-02-25,745,18822,1,18.9525,18.9525
2008-02-25,1985,18822,1,170.9905,170.9905
2008-02-25,1118,18822,1,317.3,317.3
2008-02-25,974,18822,1,140.6,140.6
2008-02-25,819,18822,1,28.405,28.405
2008-02-25,1003,18822,1,156.75,156.75
2008-02-25,908,18822,1,96.9,96.9
2008-02-25,1107,18822,1,340.1,340.1
2008-02-25,141,18795,1,284.9905,284.9905
2008-02-25,2439,18822,1,9.4905,9.4905
2008-02-25,141,18795,2,284.9905,569.981
2008-02-25,235,15113,2,759.05,1518.1
2008-02-25,275,2060,2,189.05,378.1
2008-02-25,1655,18822,2,275.4905,550.981
2008-02-25,964,18822,2,275.5,551
2008-02-25,2041,18822,2,94.9905,189.981
2008-02-25,1376,18822,2,29.45,58.9
2008-02-25,792,18822,2,26.505,53.01
2008-02-25,1901,18822,2,265.9905,531.981
2008-02-25,1347,18822,2,19.95,39.9
2008-02-25,1452,18822,2,278.35,556.7
2008-02-25,1373,18822,2,13.4805,26.961
2008-02-25,1583,18822,2,13.1955,26.391
2008-02-25,1469,18822,2,190,380
2008-02-25,1985,18822,2,170.9905,341.981
2008-02-25,974,18822,2,140.6,281.2
2008-02-25,1107,18822,2,340.1,680.2
2008-02-25,1682,10618,2,8.5405,17.081
2008-02-25,1682,10633,2,8.5405,17.081
2008-02-25,1682,10648,2,8.5405,17.081
2008-02-25,2439,18822,2,9.4905,18.981
2008-02-25,2492,18822,2,23.7405,47.481
2008-02-25,2491,18822,2,23.7405,47.481
2008-02-25,2491,18822,3,23.7405,71.2215
2008-02-25,2492,18822,3,23.7405,71.2215
2008-02-25,141,18795,3,284.9905,854.9715
2008-02-25,2112,18822,3,751.45,2254.35
2008-02-25,1655,18822,3,275.4905,826.4715
2008-02-25,964,18822,3,275.5,826.5
2008-02-25,2041,18822,3,94.9905,284.9715
2008-02-25,792,18822,3,26.505,79.515
2008-02-25,2200,18822,3,255.075,765.225
2008-02-25,2214,18822,3,604.1905,1812.5715
2008-02-25,2358,18822,3,379.9905,1139.9715
2008-02-25,1343,18822,3,29.45,88.35
2008-02-25,1682,10638,3,8.5405,25.6215
2008-02-25,1215,18822,3,152,456
2008-02-25,962,18822,3,178.6,535.8
2008-02-25,1452,18822,3,278.35,835.05
2008-02-25,1583,18822,3,13.1955,39.5865
2008-02-25,1469,18822,3,190,570
2008-02-25,1607,18822,3,170.9905,512.9715
2008-02-25,745,18822,3,18.9525,56.8575
2008-02-25,1985,18822,3,170.9905,512.9715
2008-02-25,1118,18822,3,317.3,951.9
2008-02-25,1790,516,3,40.85,122.55
2008-02-25,819,18822,3,28.405,85.215
2008-02-25,908,18822,3,96.9,290.7
2008-02-25,2491,18822,4,23.7405,94.962
2008-02-25,2492,18822,4,23.7405,94.962
2008-02-25,1682,10613,4,8.5405,34.162
2008-02-25,1682,10628,4,8.5405,34.162
2008-02-25,275,2040,4,189.05,756.2
2008-02-25,1541,18822,4,284.05,1136.2
2008-02-25,2112,18822,4,751.45,3005.8
2008-02-25,2360,18822,4,189.9905,759.962
2008-02-25,1376,18822,4,29.45,117.8
2008-02-25,2200,18822,4,255.075,1020.3
2008-02-25,1901,18822,4,265.9905,1063.962
2008-02-25,2214,18822,4,604.1905,2416.762
2008-02-25,1343,18822,4,29.45,117.8
2008-02-25,962,18822,4,178.6,714.4
2008-02-25,1373,18822,4,13.4805,53.922
2008-02-25,1465,18822,4,189.05,756.2
2008-02-25,1607,18822,4,170.9905,683.962
2008-02-25,745,18822,4,18.9525,75.81
2008-02-25,1118,18822,4,317.3,1269.2
2008-02-25,974,18822,4,140.6,562.4
2008-02-25,819,18822,4,28.405,113.62
2008-02-25,1003,18822,4,156.75,627
2008-02-25,908,18822,4,96.9,387.6
2008-02-25,1107,18822,4,340.1,1360.4
2008-02-25,2439,18822,4,9.4905,37.962
2008-02-26,1730,1299,1,72.2424,72.2424
2008-02-26,1730,1303,1,72.2424,72.2424
2008-02-26,1752,8683,1,84.55,84.55
2008-02-26,1752,8685,1,84.55,84.55
2008-02-26,1752,8689,1,84.55,84.55
2008-02-26,1752,8690,1,84.55,84.55
2008-02-26,1752,8692,1,84.55,84.55
2008-02-26,1752,8695,1,84.55,84.55
2008-02-26,1752,8696,1,84.55,84.55
2008-02-26,275,16001,1,185.07,185.07
2008-02-26,275,16002,1,185.07,185.07
2008-02-26,275,16004,1,185.07,185.07
2008-02-26,275,16005,1,185.07,185.07
2008-02-26,275,16120,1,185.07,185.07
2008-02-26,1480,10030,1,119.97,119.97
2008-02-26,1629,9904,1,9.2907,9.2907
2008-02-26,1629,9909,1,9.2907,9.2907
2008-02-26,1629,9915,1,9.2907,9.2907
2008-02-26,16,2771,1,102.2535,102.2535
2008-02-26,16,2772,1,102.2535,102.2535
2008-02-26,16,2783,1,102.2535,102.2535
2008-02-26,663,18851,1,235.6,235.6
2008-02-26,196,3873,1,256.405,256.405
2008-02-26,196,3881,1,256.405,256.405
2008-02-26,196,3883,1,256.405,256.405
2008-02-26,196,3884,1,256.405,256.405
2008-02-26,196,3885,1,256.405,256.405
2008-02-26,1666,10524,1,15.7077,15.7077
2008-02-26,1666,10817,1,15.7077,15.7077
2008-02-26,1666,10822,1,15.7077,15.7077
2008-02-26,1666,10824,1,15.7077,15.7077
2008-02-21,724,19053,1,151.59,151.59
2008-02-21,669,19053,1,174.84,174.84
2008-02-21,51,19042,1,185.9535,185.9535
2008-02-21,39,19041,1,278.2839,278.2839
2008-02-21,39,19041,2,278.2839,556.5678
2008-02-21,51,19042,2,185.9535,371.907
2008-02-21,691,19053,2,219.48,438.96
2008-02-21,724,19053,2,151.59,303.18
2008-02-21,1733,8388,3,21.1928,63.5784
2008-02-21,279,15934,3,278.07,834.21
2008-02-21,691,19053,3,219.48,658.44
2008-02-21,672,19053,3,157.17,471.51
2008-02-21,724,19053,3,151.59,454.77
